Date,Crash,Autumn,Winter,Spring,Weekend,Rained,Day,Attendance_number
2012-10-19,0,0,0,1,0,0.0,4,0.0
2012-10-20,1,0,0,1,1,0.0,5,0.0
2012-10-21,0,0,0,1,1,0.0,6,12.0
2012-10-22,1,0,0,1,0,0.0,0,0.0
2012-10-23,1,0,0,1,0,1.0,1,0.0
2012-10-24,1,0,0,1,0,0.0,2,0.0
2012-10-25,1,0,0,1,0,0.0,3,0.0
2012-10-26,1,0,0,1,0,0.0,4,0.0
2012-10-27,1,0,0,1,1,0.0,5,0.0
2012-10-28,1,0,0,1,1,0.0,6,0.0
2012-10-29,0,0,0,1,0,0.0,0,0.0
2012-10-30,0,0,0,1,0,0.0,1,0.0
2012-10-31,1,0,0,1,0,0.0,2,0.0
2012-11-01,1,0,0,1,0,0.0,3,0.0
2012-11-02,1,0,0,1,0,0.0,4,0.0
2012-11-03,1,0,0,1,1,1.0,5,0.0
2012-11-04,0,0,0,1,1,1.0,6,0.0
2012-11-05,0,0,0,1,0,0.0,0,0.0
2012-11-06,1,0,0,1,0,0.0,1,0.0
2012-11-07,1,0,0,1,0,0.0,2,0.0
2012-11-08,0,0,0,1,0,1.0,3,0.0
2012-11-09,1,0,0,1,0,1.0,4,0.0
2012-11-10,1,0,0,1,1,1.0,5,0.0
2012-11-11,1,0,0,1,1,0.0,6,0.0
2012-11-12,0,0,0,1,0,0.0,0,0.0
2012-11-13,0,0,0,1,0,0.0,1,0.0
2012-11-14,1,0,0,1,0,1.0,2,0.0
2012-11-15,0,0,0,1,0,1.0,3,0.0
2012-11-16,0,0,0,1,0,0.0,4,0.0
2012-11-17,1,0,0,1,1,1.0,5,6.0
2012-11-18,0,0,0,1,1,0.0,6,0.0
2012-11-19,0,0,0,1,0,0.0,0,0.0
2012-11-20,1,0,0,1,0,1.0,1,0.0
2012-11-21,1,0,0,1,0,1.0,2,0.0
2012-11-22,0,0,0,1,0,0.0,3,0.0
2012-11-23,1,0,0,1,0,0.0,4,0.0
2012-11-24,0,0,0,1,1,0.0,5,0.0
2012-11-25,1,0,0,1,1,0.0,6,0.0
2012-11-26,1,0,0,1,0,0.0,0,0.0
2012-11-27,0,0,0,1,0,1.0,1,0.0
2012-11-28,0,0,0,1,0,1.0,2,0.0
2012-11-29,1,0,0,0,0,1.0,3,0.0
2012-11-30,1,0,0,0,0,0.0,4,0.0
2012-12-01,1,0,0,0,1,1.0,5,0.0
2012-12-02,0,0,0,0,1,1.0,6,0.0
2012-12-03,1,0,0,0,0,1.0,0,0.0
2012-12-04,1,0,0,0,0,1.0,1,0.0
2012-12-05,0,0,0,0,0,0.0,2,0.0
2012-12-06,1,0,0,0,0,0.0,3,0.0
2012-12-07,1,0,0,0,0,0.0,4,0.0
